object_level,segment,family,product_or_example,snapshot_status,cpu,gpu_npu_media,process_memory,io_and_connectivity,evidence_ids,notes
platform,smartphone,Snapdragon 8,Snapdragon 8 Gen 5,"Active","Oryon；最高 3.8 GHz 官方表口径","Adreno；Hexagon；Spectra 20-bit","3 nm","X80；连接字段以产品页为准","Q019 Q021","与 Elite Gen 5 并行，不是别名"
platform,smartphone,Snapdragon 8,Snapdragon 8 Elite,"Active","Oryon","Adreno；Hexagon；Spectra","3 nm；LPDDR5x 支持","X80；FastConnect","Q022","Oryon 首次进入手机路线"
platform,smartphone,Snapdragon 8,Snapdragon 8 Gen 3,"Active/既有","Kryo","Adreno；Hexagon；18-bit Spectra","4 nm；LPDDR5x","X75；FastConnect","Q023","生成式 AI 依模型与运行时"
platform,smartphone,Snapdragon 8,Snapdragon 8 Gen 2,"Active/既有","Kryo","Adreno；Hexagon；18-bit Spectra","4 nm；LPDDR5x","X70；FastConnect 7800","Q024","OEM 实现差异显著"
platform,smartphone,Snapdragon 7,Snapdragon 7 Gen 4,"Active","Kryo","Adreno；Hexagon；Spectra","以产品页为准","5G/Wi-Fi 依平台页","Q026 Q027","高端主流"
platform,smartphone,Snapdragon 7,Snapdragon 7s Gen 4,"Active","Kryo","Adreno；Hexagon；Spectra","以产品页为准","以产品页为准","Q026 Q028","7s 与标准 7 分层"
platform,smartphone,Snapdragon 7,Snapdragon 7+ Gen 3,"Active/既有","Kryo","Adreno；Hexagon；Spectra","4 nm；LPDDR5x 支持","以产品页为准","Q029","7+ 性能层级"
platform,smartphone,Snapdragon 6,Snapdragon 6 Gen 5,"Active","Kryo","Adreno；Hexagon；Spectra","以产品页为准","以产品页为准","Q030 Q031","当前主流代表"
platform,smartphone,Snapdragon 6,Snapdragon 6 Gen 4,"Active","Kryo","Adreno；Hexagon；Spectra","4 nm；内存按产品页","5G/Wi-Fi 按产品页","Q032","代际基线"
platform,smartphone,Snapdragon 4,Snapdragon 4 Gen 5,"Active","Kryo","Adreno；Hexagon/AI Engine；Spectra","以产品页为准","蜂窝与 Wi-Fi 按产品页","Q033 Q034","入门当前代表"
platform,smartphone,Snapdragon 4,Snapdragon 4 Gen 4,"Active","Kryo","Adreno；AI Engine；Spectra","以产品页为准","以产品页为准","Q035","不能从编号推断终端售价"
platform,XR,Snapdragon XR,Snapdragon XR2 Gen 2,"Active","平台 CPU","Adreno；AI Engine；多传感/视频","面向头显共享内存","Wi-Fi/蓝牙；具体终端决定","Q051 Q052","运动到光子闭环"
platform,XR,Snapdragon XR,Snapdragon XR2+ Gen 2,"Active","平台 CPU","增强图形/AI/传感能力","面向高端 MR","具体终端决定","Q053","产品页上限不等于头显配置"
platform,AR,Snapdragon AR,Snapdragon AR2 Gen 1,"Active","分布式处理","视觉/AI 协处理","眼镜功耗域","与主机低时延无线协同","Q054","不是完整手机 SoC 的简单缩小"
platform,AI glasses,Snapdragon AR,Snapdragon AR1+ Gen 1,"Active","低功耗计算","相机/音频/AI","轻量眼镜功耗域","与手机/云协同","Q055","隐私与续航需终端验证"
platform,spatial computing,Snapdragon Reality,Snapdragon Reality Elite,"正式产品页","以官方页为准","空间计算图形/AI/传感","以官方页为准","以官方页为准","Q056","页面存在不证明全部地区终端出货"
platform,wearables,Snapdragon Wear,Snapdragon W5+ Gen 1,"Active","主处理器与低功耗协处理分工","显示/传感/音频","4 nm 主平台口径","蜂窝/GNSS/Wi-Fi 依终端","Q057 Q058","平均功耗取决于功能开启"
platform,wearables,Snapdragon Wear,Snapdragon Wear Elite,"正式产品页","以官方页为准","AI/传感能力以官方页为准","以官方页为准","以终端为准","Q059","需分发布与 OEM 上市"
platform,audio,Snapdragon Sound,S7 Pro Gen 1,"正式发布","耳机端处理","端侧 AI/ANC/空间音频","超低功耗音频 SoC","蓝牙与 XPAN 能力依两端支持","Q060 Q061","Snapdragon Sound 是端到端认证"
platform,gaming,Snapdragon G,G Series,"系列 Active","按 G1/G2/G3 具体平台","Adreno；游戏平台功能","手持设备功耗域","本地/云/串流配置不同","Q062 Q063","系列不是单一芯片"
processor,IoT,Dragonwing Q8,QCS8550,"Active","Kryo","Adreno；Hexagon；ISP/视频","平台共享内存","Wi-Fi 7；IO 依模块","Q064","不含蜂窝/含蜂窝变体需区分"
processor,IoT,Dragonwing Q8,Q-8750,"Active","以官方页为准","边缘 AI/多媒体","工业生命周期口径","按产品页","Q065","新 Q 系命名"
processor,enterprise mobile,Dragonwing Q6,Q-6690,"Active","Kryo 7 系；最高 2.9 GHz 页面口径","边缘 AI/相机","4 nm","5G DSDA；Wi-Fi 7；BT 6.0；UWB；UHF RFID","Q066","软件功能包与长支持是平台组成"
platform,networking,Dragonwing N,N8,"Active","网络处理","网络 AI","网关内存由设计决定","Wi-Fi 8/7 等","Q068 Q069","标准与客户端成熟度影响收益"
platform,enterprise networking,Dragonwing NPro,NPro A8 Elite,"Active","网络/边缘计算","网络 AI","设备级配置","Wi-Fi 8/7 与有线回程","Q070","面向企业 AP/网关"
platform,FWA,Dragonwing FWA,FWA Gen 5 Elite,"Active","网关计算","调制解调/网络加速","CPE 设计决定","5G 到 Wi-Fi/以太网","Q071","小区容量与射频安装决定体验"
solution,automotive,Snapdragon Digital Chassis,Digital Chassis,"Active","跨 Cockpit/Ride 平台","AI/图形/安全岛依具体平台","车规生命周期","5G/Wi-Fi/BT/V2X/定位/云","Q073 Q074 Q075 Q076 Q077","四个平台组合，不是单颗 SoC"
accelerator,data center,Qualcomm Dragonfly,Dragonfly AI300,"正式产品页","主机协同","数据中心 AI 推理","具体内存未在本矩阵推测","服务器/集群 IO 以官方页为准","Q079 Q080","页面状态不等于部署规模"
accelerator,data center,Qualcomm Dragonfly,Dragonfly AI200,"正式产品页","主机协同","数据中心 AI 推理","具体内存未在本矩阵推测","以官方页为准","Q081","与端侧 NPU 的软件工件不可假定通用"
accelerator,data center,Cloud AI,Cloud AI 100 Ultra,"Active/既有","主机协同","AI 推理加速","板卡规格按官方页","PCIe/服务器部署","Q082 Q083","吞吐与在线延迟需分开"
